focal,starting.plants.i,starting.plants.j,time,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j,sim
i,1,1,1,0.8187307530779813,0.951229424500714,86.85699712956398,189.99545929033803,868.5699712956398,4749.886482258451,1060.8737585955948,4993.418369865498,1
i,5,4,2,3.351600227938254,3.619349672133747,87.75721092685767,204.86842238840035,877.5721092685767,5121.710559710009,261.8367494885921,1415.091390352058,1
i,0,1,3,0,0.8607079764250585,0,248.74731662535123,0,6218.682915633781,NA,7225.07875605268,1
i,12,5,4,5.3919475440435,4.093653765385337,87.75787830483979,204.8768372533885,877.5787830483979,5121.920931334712,162.75729240316176,1251.185670523502,1
i,6,1,5,2.207276647880016,0.7788007830714215,87.75704928278505,204.8733872629628,877.5704928278504,5121.834681574071,397.58065382094946,6576.565911213731,1
i,0,13,6,0,9.63063686484118,0,248.7499795997921,0,6218.749489994802,NA,645.7256749756348,1
i,6,8,7,1.4795817839696432,5.637504717749714,87.75652854155518,204.872086468028,877.5652854155519,5121.8021617007,593.1171192585844,908.5229047480312,1
i,8,9,8,1.6151721443498614,6.032880414320812,87.75645154435142,204.87189664516038,877.5645154435142,5121.797416129009,543.3256873042169,848.9804312996029,1
i,7,6,9,1.1570922194694238,3.8257689097366314,87.75640820879087,204.87178982513865,877.5640820879087,5121.794745628466,758.421902180199,1338.7621851893439,1
i,2,12,10,0.27067056656012756,7.278367916551697,87.75643075964493,204.87184542078083,877.5643075964492,5121.796135519521,3242.185948583754,703.7011860683866,1
j,12,1,1,9.824769036935765,0.9512294245007148,90.5537866630201,175.56386969721356,905.537866630201,4389.096742430339,92.16887066005046,4614.130544515174,1
j,6,2,2,4.021920276540473,1.809674836072057,87.75853301666594,204.8631917348975,877.5853301666593,5121.579793372437,218.2005782873275,2830.1105211193353,1
j,1,11,3,0.5488116300540898,9.467787740271142,87.7564066960537,204.87180663241773,877.564066960537,5121.795165810443,1599.026002554002,540.970637102999,1
j,7,1,4,3.1453027444339714,0.8187307530777088,87.75652598332597,204.8721061300032,877.5652598332597,5121.80265325008,279.00820084369536,6255.7838874338095,1
j,10,3,5,3.678794413176104,2.3364023492142554,87.7565070893955,204.87203509088926,877.565070893955,5121.800877272231,238.54691845536027,2192.1741685436673,1
j,4,2,6,1.2047768476474752,1.481636441363429,87.75638992744464,204.87174427782546,877.5638992744464,5121.793606945636,728.4036881917461,3456.8491054610317,1
j,4,2,7,0.9863878560162828,1.4093761794374404,87.75644785795194,204.8718875623026,877.5644785795193,5121.7971890575645,889.6748608845737,3634.088090733842,1
j,9,3,8,1.8170686629111836,2.0109601381071203,87.75691370886491,204.87303475786638,877.5691370886491,5121.825868946659,482.95870981708947,2546.9554427706057,1
j,8,6,9,1.3223911057203144,3.8257689097293595,87.7559475129554,204.87065437219002,877.559475129554,5121.76635930475,663.6156817249176,1338.7547654223242,1
j,7,3,10,0.9473469762339393,1.819591979088387,87.75664845911105,204.872382317919,877.5664845911105,5121.809557947975,926.3411470206697,2814.81212096461,1
i,9,1,1,7.36857677770184,0.9512294245007136,90.35861525725484,177.16421182771606,903.5861525725484,4429.105295692902,122.62695766527179,4656.190380167933,1
i,8,11,2,5.362560364870736,9.95321159837086,87.75659945840204,204.87096336281695,877.5659945840204,5121.774084070424,163.6468281705159,514.5850696983831,1
i,4,3,3,2.1952465443462095,2.582123929275168,87.75641137244092,204.87178910032273,877.5641137244093,5121.794727508068,399.7565175467643,1983.5588328813537,1
i,6,3,4,2.6959737805545845,2.4561922592330423,87.75664128045342,204.87240854568958,877.5664128045343,5121.810213642239,325.50999536205114,2085.2643739059536,1
i,7,3,5,2.5751560888454854,2.336402349214243,87.75644624177085,204.8718840160277,877.5644624177085,5121.797100400692,340.78107584194834,2192.1725520106615,1
i,4,8,6,1.204776849061164,5.926545765458292,87.75626340528913,204.87143294146526,877.5626340528913,5121.785823536631,728.4026371661623,864.2109630516909,1
i,3,4,7,0.7397908276034061,2.8187523579118077,87.75640943530223,204.87179284968084,877.5640943530223,5121.7948212420215,1186.2327317519473,1817.0432059651941,1
i,3,4,8,0.6056895542055963,2.6812801841426097,87.75721451550437,204.8737782034159,877.5721451550437,5121.844455085397,1448.881096036137,1910.2235138933102,1
i,2,1,9,0.3305977764248245,0.6376281516215963,87.75611428991637,204.87106542140657,877.5611428991637,5121.776635535164,2654.4677716509523,8032.544708870867,1
i,6,2,10,0.8120116967009616,1.2130613194082032,87.75683061841016,204.872831494185,877.5683061841016,5121.820787354625,1080.7335777914077,4222.227438472217,1
j,11,4,1,9.006038283857784,3.804917698002846,88.59713518625678,197.22604729436188,885.9713518625678,4930.651182359047,98.37525934689424,1295.8627685815873,1
j,3,1,2,2.0109601366346745,0.9048374180333765,87.75982623705978,204.8578121320668,877.5982623705978,5121.445303301671,436.4075877900053,5660.072407740279,1
j,6,7,3,3.292869644095379,6.02495583375399,87.75641114994716,204.87179094274606,877.5641114994716,5121.794773568651,266.50435831041136,850.0966504807384,1
j,4,4,4,1.797315853294976,3.2749230123105497,87.757007171121,204.87335017571584,877.5700717112101,5121.8337543928965,488.2670289155809,1563.9554686139934,1
j,3,6,5,1.10363829572417,4.672804697972304,87.75638920488154,204.8717429989551,877.5638920488154,5121.793574973878,795.1553470451004,1096.0855216560637,1
j,2,4,6,0.6023884138291793,2.9632728825337424,87.75645975089158,204.87191688538567,877.5645975089158,5121.797922134642,1456.808559664245,1728.4260090671285,1
j,2,2,7,0.4931939181325808,1.4093761793276152,87.75645709800426,204.87191034581076,877.5645709800426,5121.797758645269,1779.3499447495924,3634.088495158741,1
j,4,1,8,0.8075860720285116,0.6703200460356719,87.75564006009229,204.86989661191333,877.5564006009229,5121.747415297833,1086.6413265358308,7640.749289221277,1
j,10,1,9,1.6529888822966767,0.6376281516217059,87.75517976728138,204.8687630249398,877.5517976728138,5121.719075623495,530.887900742282,8032.454436958619,1
j,8,4,10,1.0826822661707947,2.4261226388505337,87.75653426874744,204.87210056480475,877.5653426874744,5121.802514120119,810.5474432413371,2111.1061873388085,1
i,3,6,1,2.4561922592339407,5.707376547004286,87.09851786900477,203.05567779533976,870.9851786900476,5076.391944883494,354.60789985621824,889.4440209220143,1
i,3,10,2,2.0109601033944875,9.048374179753733,87.756052204286,204.87296953327106,877.5605220428599,5121.8242383317765,436.3888276856132,566.0491196078251,1
i,7,4,3,3.841681452487766,3.4428319057001873,87.7564124070958,204.87178265115503,877.564124070958,5121.794566278876,228.43229844126506,1487.6690778306324,1
i,7,2,4,3.145302749109224,1.637461506156097,87.75626130196424,204.87117437087468,877.5626130196424,5121.779359271867,279.0073589158231,3127.8777180509883,1
i,1,2,5,0.36787944115576243,1.5576015661427907,87.75633134857684,204.871600375373,877.5633134857684,5121.790009384325,2385.464408472347,3288.2542754934498,1
i,0,0,6,0,0,0,0,0,0,NA,NA,1
i,6,14,7,1.4795817832268,9.865633256061306,87.75651484421927,204.87205265200492,877.5651484421927,5121.801316300123,593.1170269806396,519.155859878874,1
i,8,4,8,1.6151721333732894,2.6812801840709106,87.75644792188022,204.87188772017052,877.5644792188023,5121.797193004263,543.3256685688401,1910.2058872594157,1
i,3,2,9,0.4958966647569568,1.2752563032432178,87.75643092424835,204.87184581619348,877.5643092424834,5121.796145404837,1769.6515657603488,4016.287653218527,1
i,8,4,10,1.0826822661707947,2.4261226388505337,87.75653426874744,204.87210056480475,877.5653426874744,5121.802514120119,810.5474432413371,2111.1061873388085,1
j,6,6,1,4.912384518467891,5.707376547004274,87.85803692340914,201.2623185276132,878.5803692340914,5031.55796319033,178.85008104131663,881.5885760737704,1
j,1,4,2,0.6703200398662775,3.61934967201449,87.7553443003156,204.87527801740111,877.553443003156,5121.881950435028,1309.1559118211944,1415.1387444099162,1
j,6,2,3,3.292869811873833,1.7214159528405626,87.75641490634915,204.87177481712675,877.5641490634915,5121.794370428169,266.5043561391535,2975.3380419047094,1
j,2,1,4,0.8986579282977557,0.818730753078034,87.75625362258647,204.87128517330441,877.5625362258647,5121.782129332611,976.5256707723594,6255.75881946192,1
j,11,3,5,4.046673854865718,2.33640234921426,87.75651517599805,204.87205572346804,877.5651517599805,5121.801393086701,216.86085492281438,2192.1743893166263,1
j,14,1,6,4.216718968242078,0.7408182206817305,87.75649223063614,204.87199700467642,877.5649223063614,5121.79992511691,208.11558202376773,6913.706739561057,1
j,2,9,7,0.49319392967506626,6.342192807488635,87.7568289416639,204.87282805226525,877.568289416639,5121.820701306631,1779.3574426084529,807.578838546026,1
j,1,1,8,0.201896518040205,0.6703200460356451,87.7579420877507,204.87557083227455,877.5794208775071,5121.889270806863,4346.679325607532,7640.960912773449,1
j,7,3,9,1.1570922179340182,1.9128844548653572,87.7564499065,204.87189260507992,877.564499065,5121.797315126998,758.4222635529314,2677.525713641448,1
j,3,13,10,0.40600582921319667,7.884898574716561,87.75641977242907,204.87181832683453,877.5641977242907,5121.795458170864,2161.4571382507793,649.5702398245468,1
i,16,6,1,13.099692049247697,5.707376547004277,88.43293590672124,199.2806715420858,884.3293590672124,4982.016788552145,67.50764489291934,872.908375244163,1
i,4,3,2,2.6812801842195193,2.714512254107628,87.75744038037435,204.867412931572,877.5744038037435,5121.6853232893,327.2967923936649,1886.7792236115763,1
i,7,9,3,3.8416814517950084,7.746371787825094,87.7564241468105,204.8717701054165,877.564241468105,5121.794252635412,228.43232904125017,661.1862163245627,1
