focal,starting.plants.i,starting.plants.j,time,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,2,8,1,1.8096748360719175,7.960099833541448,115.20647445060457,237.4579978283924,2880.1618612651146,5936.44994570981,1591.5355642104178,745.7758156116848
i,10,0,2,8.187307529495293,0,247.49991786243302,0,6187.497946560826,0,755.7427059225482,NA
i,7,5,3,5.185727529720728,4.925559698015216,129.01395008806975,236.97352098955417,3225.3487522017435,5924.338024738854,621.9664904714809,1202.7745856224424
i,2,5,4,1.3406400931073446,4.90099336653371,129.01314310884064,236.97368828672413,3225.328577721016,5924.342207168103,2405.812413266955,1208.80437170601
i,3,3,5,1.8195919788361037,2.9259297360849894,129.01317975667678,236.97371487521832,3225.3294939169195,5924.342871880458,1772.5564475064302,2024.7727752367234
i,16,4,6,8.780986179309316,3.881782134194031,129.01317403150705,236.9737143198669,3225.329350787676,5924.342857996672,367.3083278945976,1526.1914896794524
i,15,6,7,7.448779558497513,5.793632497545401,129.0133110518271,236.97397061461317,3225.3327762956774,5924.349265365329,433.0015072893708,1022.5621435041503
i,4,7,8,1.7973158595835066,6.725526074066269,129.01260390269258,236.972648197555,3225.3150975673143,5924.316204938875,1794.5176861204125,880.8703051175622
i,5,1,9,2.0328482863542123,0.9559974818330529,129.01313318427242,236.97363800002177,3225.3283296068103,5924.340950000544,1586.6055284387392,6197.025685298949
i,6,7,10,2.207276648784183,6.658605971504923,129.01315284111126,236.97367475961255,3225.3288210277815,5924.341868990314,1461.2254530053422,889.7270531314143
j,13,4,1,11.762886434467482,3.980049916770724,142.2234509907417,230.47429071959561,3555.5862747685424,5761.857267989891,302.27158058331685,1447.6846744336474
j,1,9,2,0.8187307530779809,8.910448503742524,128.62173081927818,237.04961711099483,3215.5432704819546,5926.240427774871,3927.473419550037,665.0889038061058
j,1,0,3,0.7408182206817251,0,247.49772853739736,0,6187.4432134349345,0,8352.174718031432,NA
j,7,5,4,4.692240322356555,4.900993366533756,129.01322571114784,236.97375136390977,3225.330642778696,5924.343784097744,687.3754158352355,1208.804693463145
j,2,4,5,1.2130612849568536,3.901239648112633,129.01316914191244,236.9737060043996,3225.329228547811,5924.342650109989,2658.8345276080013,1518.5795245816562
j,9,8,6,4.939304724582666,7.763564268388064,129.01312028780785,236.97361387885954,3225.3280071951963,5924.3403469714885,652.9923110722253,763.0954214025653
j,1,4,7,0.4965853073265362,3.8624216650302605,129.01519470038008,236.9774931749519,3225.3798675095018,5924.437329373797,6495.117394580124,1533.8660154619295
j,1,7,8,0.44932896534441463,6.7255260740662495,129.0091481067794,236.96618520997356,3225.2287026694853,5924.154630249339,7177.878461935608,880.8462810207496
j,9,10,9,3.659126937834675,9.559974818331023,129.01186622987382,236.9712689728192,3225.2966557468453,5924.28172432048,881.4388542791158,619.696373358726
j,3,2,10,1.1036383235186549,1.9024588490014211,129.0131256660269,236.97362394185578,3225.3281416506725,5924.340598546394,2922.4502927440744,3114.0440181694403
i,5,9,1,4.524187090179802,8.95511231273415,127.85109061593795,235.63604366327098,3196.277265398449,5890.901091581774,706.4865359649442,657.8254840204435
i,2,0,2,1.63746150615595,0,247.49956612878447,0,6187.489153219612,0,3778.708158914315,NA
i,9,9,3,6.667363985681977,8.86600745642754,129.01358683119042,236.97359838297973,3225.3396707797606,5924.339959574493,483.7503513691632,668.2083213543382
i,3,2,4,2.0109600346768177,1.9603973466128835,129.01317096716272,236.97368952880495,3225.329274179068,5924.342238220124,1603.8753722410063,3022.010945105607
i,1,8,5,0.6065306285030151,7.8024792962239635,129.01311177050135,236.973599064258,3225.3277942625336,5924.33997660645,5317.6668130066255,759.2894196430044
i,1,2,6,0.5488116360940298,1.94089106709702,129.01302311005415,236.97343227059838,3225.3255777513536,5924.33580676496,5876.926372601085,3052.3793463720535
i,7,4,7,3.4760971349746437,3.862421665030263,129.0131292104674,236.97363056718757,3225.3282302616853,5924.340764179689,927.8590629157469,1533.841014257378
i,4,3,8,1.7973158590841152,2.882368317456966,128.99628033295483,236.94211959949274,3224.9070083238707,5923.552989987318,1794.2906317909164,2055.099257826115
i,12,1,9,4.87883585847712,0.9559974818330261,129.01319654212858,236.97375648395052,3225.3299135532147,5924.343912098763,661.0859654048638,6197.028783736383
i,10,12,10,3.6787944156623107,11.414753094008557,129.01380775725391,236.97489988018603,3225.3451939313477,5924.3724970046505,876.7397221762591,519.010130855504
j,5,5,1,4.524187090179782,4.975062395963414,133.89218560215332,233.23418072753347,3347.304640053833,5830.854518188336,739.8687484254365,1172.016359617777
j,8,2,2,6.549846024623848,1.9800996674983316,129.20606648660225,236.9351944103039,3230.151662165056,5923.379860257597,493.16451868050757,2991.455408778098
j,7,2,3,5.185727529807796,1.9702238792060889,129.01491499907047,236.97333890457122,3225.3728749767615,5924.33347261428,621.9711422239546,3006.934153595539
j,1,9,4,0.6703200460436596,8.821788059760774,129.0130433265143,236.97364218756056,3225.3260831628572,5924.341054689014,4811.621108751362,671.5578536410302
j,9,0,5,5.458775937413761,0,247.49672140468093,0,6187.4180351170235,0,1133.4808583567685,NA
j,7,5,6,3.841681450948133,4.85222766774253,129.01305540492936,236.97349249265494,3225.326385123234,5924.337312316374,839.5611209063725,1220.9520488292826
j,8,10,7,3.9726824302965427,9.656054162575698,129.013302028087,236.97395374379542,3225.332550702175,5924.348843594886,811.8777695657436,613.5372424231099
j,3,2,8,1.34798689737677,1.9215788783046464,129.01341496762944,236.97416495528773,3225.3353741907363,5924.354123882194,2392.7052855390157,3083.065801133847
j,9,5,9,3.6591269377186424,4.779987409165488,129.01334568950767,236.97403540305535,3225.333642237692,5924.350885076384,881.4489623168395,1239.4072155329554
j,2,20,10,0.7357588831088738,19.024588490014263,129.01327391306387,236.97390118116638,3225.331847826597,5924.347529529159,4383.680471784843,311.4047661340357
i,4,4,1,3.6193496721438336,3.9800499167707226,134.22851547418907,232.48857826271762,3355.7128868547265,5812.214456567941,927.1590729908812,1460.3370756927025
i,7,6,2,5.731115265517265,5.940299002494965,129.07687484849862,236.9610400201346,3226.9218712124657,5924.026000503365,563.0530397160347,997.2605752699039
i,8,6,3,5.926545762156975,5.910671637618353,129.0140815060852,236.97349478532547,3225.35203765213,5924.337369633136,544.2212322474768,1002.3120438509574
i,5,4,4,3.3516002302442165,3.9207946932270232,129.01310258624935,236.97355898055588,3225.327564656234,5924.338974513897,962.3246637685122,1511.0046401429527
i,7,1,5,4.245714618002169,0.9753099120283316,129.01336646148033,236.97406879664007,3225.334161537008,5924.3517199160015,759.6681481749465,6074.327397734789
i,17,5,6,9.32979780702195,4.852227667742499,129.01316389649313,236.97369524119748,3225.3290974123283,5924.342381029937,345.70192882259744,1220.9530934450652
