focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity,sim
i,1,1,NA,NA,1,86.857,1074,1
i,1,1,NA,NA,1,86.857,1115,1
i,1,1,NA,NA,1,86.857,1112,1
i,1,1,NA,NA,1,86.857,1050,1
i,1,1,NA,NA,1,86.857,1111,1
i,1,1,NA,NA,1,86.857,1048,1
i,1,1,NA,NA,1,86.857,1078,1
i,1,1,NA,NA,1,86.857,1060,1
i,1,1,NA,NA,1,86.857,1077,1
i,1,1,NA,NA,1,86.857,1055,1
i,5,4,NA,NA,2,87.75721,244,1
i,5,4,NA,NA,2,87.75721,239,1
i,5,4,NA,NA,2,87.75721,280,1
i,5,4,NA,NA,2,87.75721,238,1
i,5,4,NA,NA,2,87.75721,241,1
i,5,4,NA,NA,2,87.75721,235,1
i,5,4,NA,NA,2,87.75721,233,1
i,5,4,NA,NA,2,87.75721,266,1
i,5,4,NA,NA,2,87.75721,258,1
i,5,4,NA,NA,2,87.75721,243,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,0,1,NA,NA,3,0,NA,1
i,12,5,NA,NA,4,87.75788,160,1
i,12,5,NA,NA,4,87.75788,142,1
i,12,5,NA,NA,4,87.75788,191,1
i,12,5,NA,NA,4,87.75788,143,1
i,12,5,NA,NA,4,87.75788,184,1
i,12,5,NA,NA,4,87.75788,169,1
i,12,5,NA,NA,4,87.75788,184,1
i,12,5,NA,NA,4,87.75788,159,1
i,12,5,NA,NA,4,87.75788,176,1
i,12,5,NA,NA,4,87.75788,162,1
i,6,1,NA,NA,5,87.75705,411,1
i,6,1,NA,NA,5,87.75705,418,1
i,6,1,NA,NA,5,87.75705,402,1
i,6,1,NA,NA,5,87.75705,380,1
i,6,1,NA,NA,5,87.75705,375,1
i,6,1,NA,NA,5,87.75705,386,1
i,6,1,NA,NA,5,87.75705,395,1
i,6,1,NA,NA,5,87.75705,417,1
i,6,1,NA,NA,5,87.75705,400,1
i,6,1,NA,NA,5,87.75705,405,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,0,13,NA,NA,6,0,NA,1
i,6,8,NA,NA,7,87.75653,591,1
i,6,8,NA,NA,7,87.75653,587,1
i,6,8,NA,NA,7,87.75653,595,1
i,6,8,NA,NA,7,87.75653,591,1
i,6,8,NA,NA,7,87.75653,607,1
i,6,8,NA,NA,7,87.75653,571,1
i,6,8,NA,NA,7,87.75653,582,1
i,6,8,NA,NA,7,87.75653,606,1
i,6,8,NA,NA,7,87.75653,565,1
i,6,8,NA,NA,7,87.75653,613,1
i,8,9,NA,NA,8,87.75645,583,1
i,8,9,NA,NA,8,87.75645,549,1
i,8,9,NA,NA,8,87.75645,533,1
i,8,9,NA,NA,8,87.75645,503,1
i,8,9,NA,NA,8,87.75645,521,1
i,8,9,NA,NA,8,87.75645,583,1
i,8,9,NA,NA,8,87.75645,532,1
i,8,9,NA,NA,8,87.75645,605,1
i,8,9,NA,NA,8,87.75645,546,1
i,8,9,NA,NA,8,87.75645,569,1
i,7,6,NA,NA,9,87.75641,695,1
i,7,6,NA,NA,9,87.75641,750,1
