focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
i,2,8,NA,NA,1,93.33917,528
i,2,8,NA,NA,1,93.33917,520
i,2,8,NA,NA,1,93.33917,544
i,2,8,NA,NA,1,93.33917,515
i,2,8,NA,NA,1,93.33917,482
i,2,8,NA,NA,1,93.33917,496
i,2,8,NA,NA,1,93.33917,517
i,2,8,NA,NA,1,93.33917,504
i,2,8,NA,NA,1,93.33917,502
i,2,8,NA,NA,1,93.33917,474
i,10,0,NA,NA,2,98.99997,139
i,10,0,NA,NA,2,98.99997,103
i,10,0,NA,NA,2,98.99997,111
i,10,0,NA,NA,2,98.99997,119
i,10,0,NA,NA,2,98.99997,124
i,10,0,NA,NA,2,98.99997,133
i,10,0,NA,NA,2,98.99997,112
i,10,0,NA,NA,2,98.99997,129
i,10,0,NA,NA,2,98.99997,112
i,10,0,NA,NA,2,98.99997,96
i,7,5,NA,NA,3,94.72314,189
i,7,5,NA,NA,3,94.72314,162
i,7,5,NA,NA,3,94.72314,196
i,7,5,NA,NA,3,94.72314,173
i,7,5,NA,NA,3,94.72314,180
i,7,5,NA,NA,3,94.72314,175
i,7,5,NA,NA,3,94.72314,174
i,7,5,NA,NA,3,94.72314,183
i,7,5,NA,NA,3,94.72314,168
i,7,5,NA,NA,3,94.72314,178
i,2,5,NA,NA,4,94.72337,704
i,2,5,NA,NA,4,94.72337,656
i,2,5,NA,NA,4,94.72337,685
i,2,5,NA,NA,4,94.72337,705
i,2,5,NA,NA,4,94.72337,688
i,2,5,NA,NA,4,94.72337,709
i,2,5,NA,NA,4,94.72337,704
i,2,5,NA,NA,4,94.72337,747
i,2,5,NA,NA,4,94.72337,707
i,2,5,NA,NA,4,94.72337,747
i,3,3,NA,NA,5,94.72287,548
i,3,3,NA,NA,5,94.72287,492
i,3,3,NA,NA,5,94.72287,527
i,3,3,NA,NA,5,94.72287,530
i,3,3,NA,NA,5,94.72287,510
i,3,3,NA,NA,5,94.72287,509
i,3,3,NA,NA,5,94.72287,503
i,3,3,NA,NA,5,94.72287,511
i,3,3,NA,NA,5,94.72287,567
i,3,3,NA,NA,5,94.72287,530
i,16,4,NA,NA,6,94.72235,111
i,16,4,NA,NA,6,94.72235,117
i,16,4,NA,NA,6,94.72235,110
i,16,4,NA,NA,6,94.72235,103
i,16,4,NA,NA,6,94.72235,107
i,16,4,NA,NA,6,94.72235,109
i,16,4,NA,NA,6,94.72235,117
i,16,4,NA,NA,6,94.72235,106
i,16,4,NA,NA,6,94.72235,115
i,16,4,NA,NA,6,94.72235,118
i,15,6,NA,NA,7,94.72254,124
i,15,6,NA,NA,7,94.72254,143
i,15,6,NA,NA,7,94.72254,125
i,15,6,NA,NA,7,94.72254,143
i,15,6,NA,NA,7,94.72254,130
i,15,6,NA,NA,7,94.72254,139
i,15,6,NA,NA,7,94.72254,118
i,15,6,NA,NA,7,94.72254,122
i,15,6,NA,NA,7,94.72254,120
i,15,6,NA,NA,7,94.72254,110
i,4,7,NA,NA,8,94.72362,518
i,4,7,NA,NA,8,94.72362,555
i,4,7,NA,NA,8,94.72362,484
i,4,7,NA,NA,8,94.72362,530
i,4,7,NA,NA,8,94.72362,521
i,4,7,NA,NA,8,94.72362,534
i,4,7,NA,NA,8,94.72362,520
i,4,7,NA,NA,8,94.72362,524
i,4,7,NA,NA,8,94.72362,532
i,4,7,NA,NA,8,94.72362,549
i,5,1,NA,NA,9,94.72328,461
i,5,1,NA,NA,9,94.72328,461
i,5,1,NA,NA,9,94.72328,475
i,5,1,NA,NA,9,94.72328,451
i,5,1,NA,NA,9,94.72328,498
i,5,1,NA,NA,9,94.72328,464
i,5,1,NA,NA,9,94.72328,463
i,5,1,NA,NA,9,94.72328,486
i,5,1,NA,NA,9,94.72328,455
i,5,1,NA,NA,9,94.72328,456
i,6,7,NA,NA,10,94.72357,428
i,6,7,NA,NA,10,94.72357,459
i,6,7,NA,NA,10,94.72357,434
i,6,7,NA,NA,10,94.72357,429
i,6,7,NA,NA,10,94.72357,437
i,6,7,NA,NA,10,94.72357,430
i,6,7,NA,NA,10,94.72357,432
i,6,7,NA,NA,10,94.72357,432
i,6,7,NA,NA,10,94.72357,409
i,6,7,NA,NA,10,94.72357,425
j,13,4,NA,NA,1,84.40298,331
j,13,4,NA,NA,1,84.40298,336
j,13,4,NA,NA,1,84.40298,344
j,13,4,NA,NA,1,84.40298,331
j,13,4,NA,NA,1,84.40298,331
j,13,4,NA,NA,1,84.40298,361
j,13,4,NA,NA,1,84.40298,369
j,13,4,NA,NA,1,84.40298,335
j,13,4,NA,NA,1,84.40298,353
j,13,4,NA,NA,1,84.40298,360
j,1,9,NA,NA,2,85.52812,253
j,1,9,NA,NA,2,85.52812,236
j,1,9,NA,NA,2,85.52812,264
j,1,9,NA,NA,2,85.52812,260
j,1,9,NA,NA,2,85.52812,253
j,1,9,NA,NA,2,85.52812,272
j,1,9,NA,NA,2,85.52812,270
j,1,9,NA,NA,2,85.52812,272
j,1,9,NA,NA,2,85.52812,258
j,1,9,NA,NA,2,85.52812,256
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,7,5,NA,NA,4,85.5276,1214
j,7,5,NA,NA,4,85.5276,1272
j,7,5,NA,NA,4,85.5276,1219
j,7,5,NA,NA,4,85.5276,1240
j,7,5,NA,NA,4,85.5276,1267
j,7,5,NA,NA,4,85.5276,1274
j,7,5,NA,NA,4,85.5276,1293
j,7,5,NA,NA,4,85.5276,1259
j,7,5,NA,NA,4,85.5276,1276
j,7,5,NA,NA,4,85.5276,1303
j,2,4,NA,NA,5,85.5274,2675
j,2,4,NA,NA,5,85.5274,2711
j,2,4,NA,NA,5,85.5274,2548
j,2,4,NA,NA,5,85.5274,2635
j,2,4,NA,NA,5,85.5274,2615
j,2,4,NA,NA,5,85.5274,2602
j,2,4,NA,NA,5,85.5274,2660
j,2,4,NA,NA,5,85.5274,2595
j,2,4,NA,NA,5,85.5274,2569
j,2,4,NA,NA,5,85.5274,2573
j,9,8,NA,NA,6,85.52735,2117
j,9,8,NA,NA,6,85.52735,2134
j,9,8,NA,NA,6,85.52735,2148
j,9,8,NA,NA,6,85.52735,2209
j,9,8,NA,NA,6,85.52735,2136
j,9,8,NA,NA,6,85.52735,2185
j,9,8,NA,NA,6,85.52735,2232
j,9,8,NA,NA,6,85.52735,2178
j,9,8,NA,NA,6,85.52735,2078
j,9,8,NA,NA,6,85.52735,2208
j,1,4,NA,NA,7,85.52709,6938
j,1,4,NA,NA,7,85.52709,7268
j,1,4,NA,NA,7,85.52709,6917
j,1,4,NA,NA,7,85.52709,6923
j,1,4,NA,NA,7,85.52709,7111
j,1,4,NA,NA,7,85.52709,7347
j,1,4,NA,NA,7,85.52709,7016
j,1,4,NA,NA,7,85.52709,7220
j,1,4,NA,NA,7,85.52709,6936
j,1,4,NA,NA,7,85.52709,7076
j,1,7,NA,NA,8,85.52758,6720
j,1,7,NA,NA,8,85.52758,6619
j,1,7,NA,NA,8,85.52758,6676
j,1,7,NA,NA,8,85.52758,6796
j,1,7,NA,NA,8,85.52758,6717
j,1,7,NA,NA,8,85.52758,6502
j,1,7,NA,NA,8,85.52758,6683
j,1,7,NA,NA,8,85.52758,6615
j,1,7,NA,NA,8,85.52758,6658
j,1,7,NA,NA,8,85.52758,6880
j,9,10,NA,NA,9,85.52754,7778
j,9,10,NA,NA,9,85.52754,7530
j,9,10,NA,NA,9,85.52754,7687
j,9,10,NA,NA,9,85.52754,7657
j,9,10,NA,NA,9,85.52754,7685
j,9,10,NA,NA,9,85.52754,7483
j,9,10,NA,NA,9,85.52754,7659
j,9,10,NA,NA,9,85.52754,7799
j,9,10,NA,NA,9,85.52754,7712
j,9,10,NA,NA,9,85.52754,7672
j,3,2,NA,NA,10,85.52762,63774
j,3,2,NA,NA,10,85.52762,63973
j,3,2,NA,NA,10,85.52762,63256
j,3,2,NA,NA,10,85.52762,63660
j,3,2,NA,NA,10,85.52762,63585
j,3,2,NA,NA,10,85.52762,63121
j,3,2,NA,NA,10,85.52762,63654
j,3,2,NA,NA,10,85.52762,63702
j,3,2,NA,NA,10,85.52762,63186
j,3,2,NA,NA,10,85.52762,63704
i,5,9,NA,NA,1,94.2189,219
i,5,9,NA,NA,1,94.2189,226
i,5,9,NA,NA,1,94.2189,211
i,5,9,NA,NA,1,94.2189,229
i,5,9,NA,NA,1,94.2189,214
i,5,9,NA,NA,1,94.2189,210
i,5,9,NA,NA,1,94.2189,186
i,5,9,NA,NA,1,94.2189,206
i,5,9,NA,NA,1,94.2189,196
i,5,9,NA,NA,1,94.2189,232
i,2,0,NA,NA,2,98.99993,577
i,2,0,NA,NA,2,98.99993,579
i,2,0,NA,NA,2,98.99993,575
i,2,0,NA,NA,2,98.99993,569
i,2,0,NA,NA,2,98.99993,615
i,2,0,NA,NA,2,98.99993,666
i,2,0,NA,NA,2,98.99993,621
i,2,0,NA,NA,2,98.99993,612
i,2,0,NA,NA,2,98.99993,602
i,2,0,NA,NA,2,98.99993,598
i,9,9,NA,NA,3,94.72303,150
i,9,9,NA,NA,3,94.72303,131
i,9,9,NA,NA,3,94.72303,144
i,9,9,NA,NA,3,94.72303,148
i,9,9,NA,NA,3,94.72303,112
i,9,9,NA,NA,3,94.72303,142
i,9,9,NA,NA,3,94.72303,155
i,9,9,NA,NA,3,94.72303,150
i,9,9,NA,NA,3,94.72303,152
i,9,9,NA,NA,3,94.72303,140
i,3,2,NA,NA,4,94.72359,452
i,3,2,NA,NA,4,94.72359,463
i,3,2,NA,NA,4,94.72359,451
i,3,2,NA,NA,4,94.72359,468
i,3,2,NA,NA,4,94.72359,462
i,3,2,NA,NA,4,94.72359,475
i,3,2,NA,NA,4,94.72359,441
