focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
i,2,8,NA,NA,1,1.9276694,6
i,2,8,NA,NA,1,1.9276694,8
i,2,8,NA,NA,1,1.9276694,6
i,2,8,NA,NA,1,1.9276694,3
i,2,8,NA,NA,1,1.9276694,8
i,2,8,NA,NA,1,1.9276694,3
i,2,8,NA,NA,1,1.9276694,5
i,2,8,NA,NA,1,1.9276694,8
i,2,8,NA,NA,1,1.9276694,2
i,2,8,NA,NA,1,1.9276694,5
i,10,0,NA,NA,2,19.1026747,20
i,10,0,NA,NA,2,19.1026747,9
i,10,0,NA,NA,2,19.1026747,13
i,10,0,NA,NA,2,19.1026747,9
i,10,0,NA,NA,2,19.1026747,9
i,10,0,NA,NA,2,19.1026747,7
i,10,0,NA,NA,2,19.1026747,9
i,10,0,NA,NA,2,19.1026747,11
i,10,0,NA,NA,2,19.1026747,11
i,10,0,NA,NA,2,19.1026747,11
i,7,5,NA,NA,3,11.5597396,12
i,7,5,NA,NA,3,11.5597396,14
i,7,5,NA,NA,3,11.5597396,8
i,7,5,NA,NA,3,11.5597396,13
i,7,5,NA,NA,3,11.5597396,8
i,7,5,NA,NA,3,11.5597396,18
i,7,5,NA,NA,3,11.5597396,6
i,7,5,NA,NA,3,11.5597396,14
i,7,5,NA,NA,3,11.5597396,8
i,7,5,NA,NA,3,11.5597396,10
i,2,5,NA,NA,4,7.741602,24
i,2,5,NA,NA,4,7.741602,20
i,2,5,NA,NA,4,7.741602,29
i,2,5,NA,NA,4,7.741602,23
i,2,5,NA,NA,4,7.741602,23
i,2,5,NA,NA,4,7.741602,24
i,2,5,NA,NA,4,7.741602,35
i,2,5,NA,NA,4,7.741602,27
i,2,5,NA,NA,4,7.741602,24
i,2,5,NA,NA,4,7.741602,28
i,3,3,NA,NA,5,9.2611798,22
i,3,3,NA,NA,5,9.2611798,26
i,3,3,NA,NA,5,9.2611798,25
i,3,3,NA,NA,5,9.2611798,24
i,3,3,NA,NA,5,9.2611798,28
i,3,3,NA,NA,5,9.2611798,33
