focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
i,2,8,NA,NA,1,115.20647,1613
i,2,8,NA,NA,1,115.20647,1599
i,2,8,NA,NA,1,115.20647,1641
i,2,8,NA,NA,1,115.20647,1591
i,2,8,NA,NA,1,115.20647,1533
i,2,8,NA,NA,1,115.20647,1557
i,2,8,NA,NA,1,115.20647,1594
i,2,8,NA,NA,1,115.20647,1571
i,2,8,NA,NA,1,115.20647,1568
i,2,8,NA,NA,1,115.20647,1519
i,10,0,NA,NA,2,247.49992,802
i,10,0,NA,NA,2,247.49992,712
i,10,0,NA,NA,2,247.49992,732
i,10,0,NA,NA,2,247.49992,752
i,10,0,NA,NA,2,247.49992,710
i,10,0,NA,NA,2,247.49992,734
i,10,0,NA,NA,2,247.49992,776
i,10,0,NA,NA,2,247.49992,733
i,10,0,NA,NA,2,247.49992,694
i,10,0,NA,NA,2,247.49992,768
i,7,5,NA,NA,3,129.01395,584
i,7,5,NA,NA,3,129.01395,647
i,7,5,NA,NA,3,129.01395,605
i,7,5,NA,NA,3,129.01395,618
i,7,5,NA,NA,3,129.01395,607
i,7,5,NA,NA,3,129.01395,607
i,7,5,NA,NA,3,129.01395,624
i,7,5,NA,NA,3,129.01395,595
i,7,5,NA,NA,3,129.01395,614
i,7,5,NA,NA,3,129.01395,619
i,2,5,NA,NA,4,129.01314,2313
i,2,5,NA,NA,4,129.01314,2366
i,2,5,NA,NA,4,129.01314,2404
i,2,5,NA,NA,4,129.01314,2372
i,2,5,NA,NA,4,129.01314,2411
i,2,5,NA,NA,4,129.01314,2401
i,2,5,NA,NA,4,129.01314,2481
i,2,5,NA,NA,4,129.01314,2408
i,2,5,NA,NA,4,129.01314,2480
i,2,5,NA,NA,4,129.01314,2465
i,3,3,NA,NA,5,129.01318,1719
i,3,3,NA,NA,5,129.01318,1785
i,3,3,NA,NA,5,129.01318,1790
i,3,3,NA,NA,5,129.01318,1753
i,3,3,NA,NA,5,129.01318,1752
i,3,3,NA,NA,5,129.01318,1741
i,3,3,NA,NA,5,129.01318,1755
i,3,3,NA,NA,5,129.01318,1858
i,3,3,NA,NA,5,129.01318,1791
i,3,3,NA,NA,5,129.01318,1788
i,16,4,NA,NA,6,129.01317,385
i,16,4,NA,NA,6,129.01317,372
i,16,4,NA,NA,6,129.01317,359
i,16,4,NA,NA,6,129.01317,366
i,16,4,NA,NA,6,129.01317,370
i,16,4,NA,NA,6,129.01317,385
i,16,4,NA,NA,6,129.01317,364
i,16,4,NA,NA,6,129.01317,372
i,16,4,NA,NA,6,129.01317,359
i,16,4,NA,NA,6,129.01317,343
i,15,6,NA,NA,7,129.01331,429
i,15,6,NA,NA,7,129.01331,462
i,15,6,NA,NA,7,129.01331,438
i,15,6,NA,NA,7,129.01331,455
i,15,6,NA,NA,7,129.01331,417
i,15,6,NA,NA,7,129.01331,424
i,15,6,NA,NA,7,129.01331,421
i,15,6,NA,NA,7,129.01331,401
i,15,6,NA,NA,7,129.01331,424
i,15,6,NA,NA,7,129.01331,459
i,4,7,NA,NA,8,129.0126,1715
i,4,7,NA,NA,8,129.0126,1800
i,4,7,NA,NA,8,129.0126,1785
i,4,7,NA,NA,8,129.0126,1807
i,4,7,NA,NA,8,129.0126,1782
i,4,7,NA,NA,8,129.0126,1789
i,4,7,NA,NA,8,129.0126,1804
i,4,7,NA,NA,8,129.0126,1835
i,4,7,NA,NA,8,129.0126,1786
i,4,7,NA,NA,8,129.0126,1785
i,5,1,NA,NA,9,129.01313,1603
i,5,1,NA,NA,9,129.01313,1559
i,5,1,NA,NA,9,129.01313,1647
i,5,1,NA,NA,9,129.01313,1584
i,5,1,NA,NA,9,129.01313,1532
i,5,1,NA,NA,9,129.01313,1554
i,5,1,NA,NA,9,129.01313,1540
i,5,1,NA,NA,9,129.01313,1553
i,5,1,NA,NA,9,129.01313,1645
i,5,1,NA,NA,9,129.01313,1597
i,6,7,NA,NA,10,129.01315,1461
i,6,7,NA,NA,10,129.01315,1475
i,6,7,NA,NA,10,129.01315,1463
i,6,7,NA,NA,10,129.01315,1467
i,6,7,NA,NA,10,129.01315,1467
i,6,7,NA,NA,10,129.01315,1425
i,6,7,NA,NA,10,129.01315,1454
i,6,7,NA,NA,10,129.01315,1428
i,6,7,NA,NA,10,129.01315,1438
i,6,7,NA,NA,10,129.01315,1454
j,13,4,NA,NA,1,230.4743,1413
j,13,4,NA,NA,1,230.4743,1415
j,13,4,NA,NA,1,230.4743,1474
j,13,4,NA,NA,1,230.4743,1492
j,13,4,NA,NA,1,230.4743,1421
j,13,4,NA,NA,1,230.4743,1459
j,13,4,NA,NA,1,230.4743,1473
j,13,4,NA,NA,1,230.4743,1436
j,13,4,NA,NA,1,230.4743,1396
j,13,4,NA,NA,1,230.4743,1462
j,1,9,NA,NA,2,237.0496,668
j,1,9,NA,NA,2,237.0496,657
j,1,9,NA,NA,2,237.0496,688
j,1,9,NA,NA,2,237.0496,684
j,1,9,NA,NA,2,237.0496,688
j,1,9,NA,NA,2,237.0496,665
j,1,9,NA,NA,2,237.0496,662
j,1,9,NA,NA,2,237.0496,629
j,1,9,NA,NA,2,237.0496,671
j,1,9,NA,NA,2,237.0496,633
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,1,0,NA,NA,3,0,NA
j,7,5,NA,NA,4,236.9738,1186
j,7,5,NA,NA,4,236.9738,1212
j,7,5,NA,NA,4,236.9738,1219
j,7,5,NA,NA,4,236.9738,1237
j,7,5,NA,NA,4,236.9738,1203
j,7,5,NA,NA,4,236.9738,1220
j,7,5,NA,NA,4,236.9738,1247
j,7,5,NA,NA,4,236.9738,1256
