focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
i,1,12,NA,NA,1,10.020346,5
i,1,12,NA,NA,1,10.020346,3
i,1,12,NA,NA,1,10.020346,4
i,1,12,NA,NA,1,10.020346,3
i,1,12,NA,NA,1,10.020346,7
i,1,12,NA,NA,1,10.020346,4
i,1,12,NA,NA,1,10.020346,2
i,1,12,NA,NA,1,10.020346,2
i,1,12,NA,NA,1,10.020346,3
i,1,12,NA,NA,1,10.020346,8
i,9,2,NA,NA,2,6.047113,14
i,9,2,NA,NA,2,6.047113,20
i,9,2,NA,NA,2,6.047113,25
i,9,2,NA,NA,2,6.047113,20
i,9,2,NA,NA,2,6.047113,26
i,9,2,NA,NA,2,6.047113,24
i,9,2,NA,NA,2,6.047113,15
i,9,2,NA,NA,2,6.047113,31
i,9,2,NA,NA,2,6.047113,16
i,9,2,NA,NA,2,6.047113,17
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,6,0,NA,NA,3,0,NA
i,1,6,NA,NA,4,18.771097,28
i,1,6,NA,NA,4,18.771097,17
i,1,6,NA,NA,4,18.771097,20
i,1,6,NA,NA,4,18.771097,27
i,1,6,NA,NA,4,18.771097,29
i,1,6,NA,NA,4,18.771097,33
i,1,6,NA,NA,4,18.771097,16
i,1,6,NA,NA,4,18.771097,22
i,1,6,NA,NA,4,18.771097,14
i,1,6,NA,NA,4,18.771097,24
i,2,1,NA,NA,5,14.837813,114
i,2,1,NA,NA,5,14.837813,146
i,2,1,NA,NA,5,14.837813,150
i,2,1,NA,NA,5,14.837813,121
i,2,1,NA,NA,5,14.837813,136
i,2,1,NA,NA,5,14.837813,106
i,2,1,NA,NA,5,14.837813,128
i,2,1,NA,NA,5,14.837813,111
i,2,1,NA,NA,5,14.837813,115
i,2,1,NA,NA,5,14.837813,127
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,15,8,NA,NA,6,80.240578,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,14,2,NA,NA,7,81.705309,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,3,0,NA,NA,8,118.748845,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,6,8,NA,NA,9,79.080214,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
j,5,2,NA,NA,10,79.361269,NA
