"","t","scenario","function.int","Population","N"
"1",0,"low",1,"Ni",135.213129706153
"2",0,"low",1,"Nj",15.8570207525683
"3",1,"low",1,"Ni",36.5081250613879
"4",1,"low",1,"Nj",22.5611357653632
"5",2,"low",1,"Ni",18.1685473628911
"6",2,"low",1,"Nj",58.1609572911821
"7",3,"low",1,"Ni",13.2315502160169
"8",3,"low",1,"Nj",22.5035818486129
"9",4,"low",1,"Ni",45.305804928175
"10",4,"low",1,"Nj",77.4686599238203
"11",5,"low",1,"Ni",12.6947696903583
"12",5,"low",1,"Nj",22.9625172152761
"13",6,"low",1,"Ni",45.2233256749669
"14",6,"low",1,"Nj",76.4793621284429
"15",7,"low",1,"Ni",12.6940395343518
"16",7,"low",1,"Nj",22.7557875123175
"17",8,"low",1,"Ni",45.5579467115793
"18",8,"low",1,"Nj",77.1575630790547
"19",9,"low",1,"Ni",12.7578232938463
"20",9,"low",1,"Nj",22.8934644424705
"21",10,"low",1,"Ni",45.261121259875
"22",10,"low",1,"Nj",76.6456769684725
"23",11,"low",1,"Ni",12.699513281206
"24",11,"low",1,"Nj",22.7898133617105
"25",12,"low",1,"Ni",45.4964580905363
"26",12,"low",1,"Nj",77.0406994818425
"27",13,"low",1,"Ni",12.7458547836325
"28",13,"low",1,"Nj",22.869557761497
"29",14,"low",1,"Ni",45.3136142306847
"30",14,"low",1,"Nj",76.7352834979962
"31",15,"low",1,"Ni",12.7097690694017
"32",15,"low",1,"Nj",22.8078138960697
"33",16,"low",1,"Ni",45.4553930269834
"34",16,"low",1,"Nj",76.9718950112627
"35",17,"low",1,"Ni",12.7377219789688
"36",17,"low",1,"Nj",22.8555875312886
"37",18,"low",1,"Ni",45.3456374478454
"38",18,"low",1,"Nj",76.7887536393746
"39",19,"low",1,"Ni",12.7160627467229
"40",19,"low",1,"Nj",22.818574415195
"41",20,"low",1,"Ni",45.4306636203646
"42",20,"low",1,"Nj",76.9306255174803
"43",21,"low",1,"Ni",12.7328303731731
"44",21,"low",1,"Nj",22.8472256390827
"45",22,"low",1,"Ni",45.3648378627791
"46",22,"low",1,"Nj",76.8207906797814
"47",23,"low",1,"Ni",12.7198421818975
"48",23,"low",1,"Nj",22.8250315235563
"49",24,"low",1,"Ni",45.4158239647076
"50",24,"low",1,"Nj",76.9058640122918
"51",25,"low",1,"Ni",12.7298981722476
"52",25,"low",1,"Nj",22.8422144785653
"53",0,"low",2,"Ni",135.213129706153
"54",0,"low",2,"Nj",15.8570207525683
"55",1,"low",2,"Ni",36.5085545562431
"56",1,"low",2,"Nj",5.45121976877367
"57",2,"low",2,"Ni",39.8416887008108
"58",2,"low",2,"Nj",25.0642585226914
"59",3,"low",2,"Ni",14.5351624437928
"60",3,"low",2,"Nj",23.7680928990084
"61",4,"low",2,"Ni",23.7266536554693
"62",4,"low",2,"Nj",75.8594145899182
"63",5,"low",2,"Ni",6.76391556801481
"64",5,"low",2,"Nj",23.1884318661933
"65",6,"low",2,"Ni",15.4998106780179
"66",6,"low",2,"Nj",90.9113677457807
"67",7,"low",2,"Ni",4.37526958228877
"68",7,"low",2,"Nj",27.0784557131047
