"","model","se_diff","scenario","focal"
"1","3",0,"low","i"
"2","4",0.0257606621159699,"low","i"
"3","1",0.0789631727504749,"low","i"
"4","2",0.588914335730954,"low","i"
"5","1",0,"low","j"
"6","4",0.0501699330490218,"low","j"
"7","3",0.0742997938010677,"low","j"
"8","2",0.47396663502312,"low","j"
"9","1",0,"medium","i"
"10","3",0.0992258690866784,"medium","i"
"11","4",0.0338538051180404,"medium","i"
"12","2",0.700272452570239,"medium","i"
"13","1",0,"medium","j"
"14","4",0.0391273409826366,"medium","j"
"15","3",0.0821785993046871,"medium","j"
"16","2",0.467167078485368,"medium","j"
"17","1",0,"high","i"
"18","4",0.0683143510764947,"high","i"
"19","3",0.0781573974617067,"high","i"
"20","2",0.667046994002447,"high","i"
"21","1",0,"high","j"
"22","4",0.0314576173450869,"high","j"
"23","3",0.0568324482380882,"high","j"
"24","2",0.462909563962552,"high","j"
