"","parameters","Estimate","Std. Error","t value","Pr(>|t|)","funct.form"
"1","(Intercept)",-1.49020973768971,0.0647715238985574,-23.0071742641661,1.35692569633569e-97,"4.sigmoid"
"2","alpha.0.intra",-0.544190305564335,0.0653091464757042,-8.33252821282514,2.10556353363837e-16,"4.sigmoid"
"3","alpha.0.inter",0.11654849653804,0.064058407121345,1.8194098444762,0.0690937355086736,"4.sigmoid"
"4","alpha.hat.intra",0.218142207716762,0.0637487312752769,3.42190665371504,0.000642409561614896,"4.sigmoid"
"5","alpha.hat.inter",-0.0612196599522274,0.0658593908377303,-0.92955095960522,0.352787360740218,"4.sigmoid"
"6","C.intra",0.284380136241118,0.0649210359981343,4.38040046448566,1.28617584734118e-05,"4.sigmoid"
"7","C.inter",0.0290776334196503,0.0635290068720546,0.457706406117943,0.647244819992269,"4.sigmoid"
"8","N.opt.intra",-0.207169453843078,0.064178622839624,-3.22801338945484,0.00127967620491044,"4.sigmoid"
"9","N.opt.inter",0.0314295394385991,0.064554173334656,0.486870760092689,0.62643730598145,"4.sigmoid"
"10","alpha.0.intra:alpha.0.inter",0.108279813167149,0.0626084994805571,1.72947465704357,0.0839769118475177,"4.sigmoid"
"11","alpha.hat.intra:alpha.hat.inter",-0.0911954084203383,0.0638728278073858,-1.42776531979054,0.153615124896632,"4.sigmoid"
"12","C.intra:C.inter",0.038177526905405,0.0638392205320681,0.598026206886838,0.549933350834945,"4.sigmoid"
"13","N.opt.intra:N.opt.inter",-0.0347278992134858,0.0638244751647619,-0.544115703636204,0.586461197243093,"4.sigmoid"
"14","(Intercept)",-1.73662823767568,0.128211317326625,-13.5450463647568,1.1431159720226e-34,"3.exp"
"15","alpha.0.intra",-0.146943058355915,0.115385580909499,-1.27349584928785,0.203581680730451,"3.exp"
"16","alpha.0.inter",0.125296799829637,0.111507460047383,1.12366293498565,0.261829960314324,"3.exp"
"17","alpha.hat.intra",0.0245673357952941,0.119132790452681,0.206218084055138,0.836725482549918,"3.exp"
"18","alpha.hat.inter",-0.327346178740195,0.121812755443178,-2.68728982896124,0.00750398793284915,"3.exp"
"19","C.intra",0.105438313224387,0.117266620791106,0.899133210397617,0.369122647260062,"3.exp"
"20","C.inter",0.102069509820276,0.11466369770196,0.890164122262832,0.373912833330794,"3.exp"
"21","N.opt.intra",-0.163752266581445,0.124969456226428,-1.3103383140657,0.190833325615459,"3.exp"
"22","N.opt.inter",-0.0177911943692534,0.126774137518805,-0.140337727532277,0.888463796890567,"3.exp"
"23","alpha.0.intra:alpha.0.inter",-0.0860689837397511,0.110654029590619,-0.777820600462328,0.437134590263631,"3.exp"
"24","alpha.hat.intra:alpha.hat.inter",-0.194802349640907,0.118946138686538,-1.63773580035478,0.102263196189103,"3.exp"
"25","C.intra:C.inter",0.0123106762805746,0.117500106672536,0.10477161790911,0.916609546800789,"3.exp"
"26","N.opt.intra:N.opt.inter",-0.012033007420667,0.124385264861393,-0.0967398142704104,0.922981471751819,"3.exp"
"27","(Intercept)",-1.38016798541627,0.150644551640265,-9.16175175529795,9.09525807412587e-17,"2.linear"
"28","alpha.0.intra",-0.0249028208275632,0.126431539141086,-0.196966840685012,0.844067399600823,"2.linear"
"29","alpha.0.inter",0.212248834153802,0.149886323149646,1.4160653867124,0.158419850516116,"2.linear"
"30","alpha.hat.intra",0.161500946234214,0.140355592820391,1.15065558121992,0.251343202740069,"2.linear"
"31","alpha.hat.inter",-0.116767052711642,0.141038864912377,-0.827906923273844,0.408778542833461,"2.linear"
"32","alpha.0.intra:alpha.0.inter",0.114135340757072,0.127733354250586,0.893543753130931,0.372714564137575,"2.linear"
"33","alpha.hat.intra:alpha.hat.inter",-0.0656886472083156,0.13198335808922,-0.497704014803977,0.619277432176748,"2.linear"
"34","(Intercept)",-0.476838355540166,0.0922515934741111,-5.1688901793765,2.85530051320355e-07,"1.constant"
"35","alpha.0.intra",-0.677362471626235,0.0896219518368418,-7.55799731810555,9.40564748525417e-14,"1.constant"
"36","alpha.0.inter",0.422537917557879,0.0957625190134382,4.41235174169327,1.13620487290462e-05,"1.constant"
"37","alpha.0.intra:alpha.0.inter",0.00233288155706229,0.0911701381744797,0.0255882200441297,0.979591007347368,"1.constant"
