a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,Ni.Cgrwc,Ni.grwr,Ni.grwrChesson,Ni.grwrStouffer,Nj.Cgrwc,Nj.grwr,Nj.grwrChesson,Nj.grwrStouffer,prob.coex,prob.coex.id,prob.coex.stouff
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,1,0.8980668363527308,1.4326022328376673,0.43548341167281907,0.3594925337881393,0.9268246611222608,1.318155175349221,0.38374395005969963,0.27623316461985775,1,j_i,1
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,2,2.508430028190276,4.715106900793108,-2.194998644471402,1.5507715883189888,42.34160755683959,4.247272900700358,0.526620035885857,1.4462771065543043,0,j,1
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,3,2.1807201376050362,11510660032530.924,NA,30.074294681286762,NA,2.2926712674127674,0.05006246946035742,0.829717630062589,0,NA,1
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,4,1.1197364718332772,1.850267041923817,1.4671827572673628,0.6153299756590568,0.42662375858575297,0.7986822038680579,-0.33788551929444305,-0.22479215467918465,0,i,0
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,1,0.9789336110038056,2.156461130309254,0.778197494368743,0.7684685125098635,0.9903181915780048,2.0910275176842292,0.7589470322410307,0.7376555804193151,1,j_i,1
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,2,2.9181349388688083,2.401990653278174,-3.598115368717645,0.8762978324254806,87.7430977509231,18.809951365342858,1.8634413650885815,2.934386057735054,0,j,1
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,3,NA,2.401990653278174,0.6449886535804562,0.8762978324254806,1.260248821495938,1366.783181999077,NA,7.220215215511554,0,NA,1
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,4,2.66555623478328,2.40297480458331,0.7860467255164962,0.8767074717153066,1.0948974941069547,3.9604640955198898,0.39594845990592786,1.3763612142378494,1,j_i,1
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,1,0.9391624784507656,1.9083339659891974,0.6492915645917899,0.6462305922948622,0.9969437077024397,1.7213237477942722,0.6058603968783037,0.5430936156297543,1,j_i,1
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,2,0.5078338333417685,2.9721964161350427,-0.657495220595105,1.089301213546249,5.736196925101667,2.0673977701008894,1.4038916851843202,0.7262907005509543,0,j,1
