a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,Ni.Cgrwc,Ni.grwr,Ni.grwrChesson,Nj.Cgrwc,Nj.grwr,Nj.grwrChesson,prob.coex,prob.coex.id
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,1,0.8980668363527308,1.4326022328376673,0.43548341167281907,0.9268246611222608,1.318155175349221,0.38374395005969963,1,j_i
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,2,7.316833557473308e-7,427.96039785416355,2.259036203251543,44.70093683472331,2.0771570095117487e-4,5.6485777551211545,1,j_i
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,3,0.07936660168421722,3089439958261.372,26.205384051065572,12.85363815362866,3.304235380991529,3.728882727261645,1,j_i
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,4,0.05280345570511439,0.73082620453606,-0.6348955325410119,1.3789411675131684,1.9310516467895606,3.5992433906763064,0,j
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,1,0.9789336110038056,2.156461130309254,0.778197494368743,0.9903181915780048,2.0910275176842292,0.7589470322410307,1,j_i
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,2,4.8808603243258424e-23,0.0015833520214561336,11.168163026969282,2.2351460447428922e-8,5.41141755023342,53.06264672117669,1,j_i
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,3,7.048758750361614e-4,0.055662163366004554,0.1244508831370763,0.0491486677153632,995.1465635310283,14.16037886077374,1,j_i
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,4,7.237806063586442e-4,0.17347552748272882,1.397000014528082,0.04290706608330915,2.939245127286005,8.309175030348484,1,j_i
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,1,0.9391624784507656,1.9083339659891974,0.6492915645917899,0.9969437077024397,1.7213237477942722,0.6058603968783037,1,j_i
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,2,0.1310460424351899,0.04763768196259455,-3.889875825191177,2.329711947228328,0.009135674076715384,-2.663361752759233,-1,-1
