focal,starting.plants.i,starting.plants.j,time,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,2,8,1,1.9999999999999978,7.999999999999991,0.9154899882562455,0.5210279894815764,228.87249706406138,130.2569973703941,114.43624853203082,16.28212467129928
i,2,4,2,1.999999999999999,3.999999999999998,0.9571682959471653,0.4271828247509314,239.29207398679134,106.79570618773285,119.64603699339574,26.698926546933226
i,1,7,3,0.9999999999999983,6.999999999999991,0.9574368046518257,0.42559189312084905,239.35920116295642,106.39797328021227,239.35920116295682,15.199710468601772
i,3,8,4,2.999999999999998,7.99999999999999,0.9574488060782359,0.42553346863617414,239.36220151955897,106.38336715904353,79.78740050651972,13.297920894880457
i,5,6,5,4.9999999999999964,5.9999999999999964,0.9574654004459657,0.42554141044614724,239.36635011149144,106.3853526115368,47.87327002229832,17.730892101922812
i,1,4,6,0.9999999999999997,3.9999999999999987,0.9574466514135664,0.42553184823122125,239.3616628533916,106.38296205780532,239.3616628533917,26.595740514451336
i,3,2,7,2.9999999999999996,1.9999999999999991,0.95744536842531,0.4255312748587988,239.3613421063275,106.38281871469971,79.78711403544251,53.191409357349876
i,8,9,8,7.999999999999982,8.999999999999988,0.9574194478134344,0.4255197545848105,239.35486195335858,106.37993864620263,29.91935774416989,11.81999318291142
i,0,1,9,0,0.9999999999999991,0,0.9999986631703127,0,249.99966579257818,NA,249.9996657925784
i,0,2,10,0,1.9999999999999987,0,0.9999929409966813,0,249.99823524917034,NA,124.99911762458525
j,5,8,1,5.000000000000001,7.999999999999996,0.9393194818424496,0.47566076661198337,234.8298704606124,118.91519165299584,46.96597409212247,14.86439895662449
j,8,1,2,8,1,0.9579099653720382,0.42272046216514214,239.47749134300955,105.68011554128553,29.934686417876193,105.68011554128553
j,3,6,3,2.999999999999997,5.999999999999994,0.9574415963627287,0.4255629653988996,239.3603990906822,106.3907413497249,79.78679969689415,17.73179022495417
j,6,8,4,5.9999999999999964,7.9999999999999885,0.9574477151507744,0.42553270523255027,239.3619287876936,106.38317630813756,39.89365479794896,13.297897038517215
j,1,1,5,0.9999999999999989,0.9999999999999989,0.9574496261804801,0.4255332610075652,239.36240654512002,106.3833152518913,239.36240654512028,106.38331525189142
j,10,8,6,9.99999999999999,7.999999999999985,0.9574357713378003,0.4255270096491403,239.3589428344501,106.38175241228508,23.935894283445034,13.29771905153566
j,2,3,7,2,3.0000000000000044,0.9574468012815648,0.42553191169257487,239.3617003203912,106.38297792314371,119.6808501601956,35.46099264104785
j,12,9,8,11.999999999999988,8.999999999999988,0.9574224253318752,0.42552107792538435,239.3556063329688,106.38026948134609,19.946300527747418,11.820029942371804
j,7,2,9,6.999999999999991,1.9999999999999962,0.9574453081829392,0.4255312480813045,239.36132704573478,106.38281202032613,34.19447529224787,53.19140601016316
j,0,0,10,0,0,0,0,0,0,NA,NA
i,4,8,1,3.999999999999998,7.999999999999996,0.9349464184266626,0.4856846232840058,233.73660460666565,121.42115582100145,58.43415115166645,15.17764447762519
i,4,0,2,3.999999999999996,0,0.9999994681558825,0,249.99986703897062,0,62.49996675974272,NA
i,1,4,3,0.9999999999999992,3.999999999999997,0.9574376401752628,0.42558674515759104,239.3594100438157,106.39668628939776,239.3594100438159,26.599171572349462
i,8,4,4,7.999999999999987,3.9999999999999933,0.9574433804881598,0.4255304634769926,239.36084512203996,106.38261586924814,29.920105640255045,26.595653967312078
i,1,2,5,0.9999999999999989,1.9999999999999978,0.9574421497509878,0.42553011141545444,239.36053743774696,106.3825278538636,239.3605374377472,53.19126392693186
i,0,0,6,0,0,0,0,0,0,NA,NA
i,5,2,7,4.999999999999992,1.999999999999996,0.9574448178452323,0.4255310301526271,239.36120446130806,106.38275753815678,47.872240892261686,53.1913787690785
i,12,9,8,11.999999999999988,8.999999999999988,0.9574224253318752,0.42552107792538435,239.3556063329688,106.38026948134609,19.946300527747418,11.820029942371804
i,9,5,9,8.999999999999995,4.999999999999998,0.9574590686390416,0.42553736383960117,239.36476715976042,106.38434095990029,26.596085239973394,21.276868191980064
i,0,2,10,0,1.9999999999999987,0,0.9999929409966813,0,249.99823524917034,NA,124.99911762458525
j,1,1,1,0.9999999999999994,0.9999999999999994,0.9051456638933536,0.48354456803605017,226.2864159733384,120.88614200901254,226.2864159733385,120.88614200901262
j,13,7,2,12.999999999999995,6.999999999999997,0.9574185448050009,0.4257010888958419,239.35463620125023,106.42527222396048,18.41189509240387,15.203610317708645
j,4,4,3,3.9999999999999933,3.9999999999999933,0.9574435805244486,0.425551225226917,239.36089513111213,106.38780630672926,59.84022378277813,26.596951576682358
j,2,2,4,1.9999999999999971,1.9999999999999971,0.9574474651551135,0.4255329147749872,239.36186628877837,106.3832286937468,119.68093314438936,53.19161434687348
j,2,3,5,1.9999999999999973,2.9999999999999982,0.9574693606171764,0.4255423288644129,239.36734015429408,106.38558221610323,119.6836700771472,35.4618607387011
j,7,7,6,6.999999999999992,6.999999999999992,0.9574477898636641,0.4255323529742328,239.36194746591602,106.3830882435582,34.194563923702326,15.197584034794046
j,6,4,7,5.999999999999999,3.999999999999999,0.9575098908843335,0.4255599515070966,239.37747272108336,106.38998787677414,39.8962454535139,26.597496969193543
j,10,9,8,9.999999999999996,8.999999999999995,0.9574459774883517,0.4255315455504731,239.36149437208792,106.38288638761829,23.9361494372088,11.820320709735372
j,14,1,9,13.99999999999998,0.9999999999999991,0.957409437100021,0.4255153053774915,239.35235927500526,106.37882634437287,17.09659709107183,106.37882634437297
j,12,8,10,12.000000000000036,8,0.9574469331390493,0.425531970284022,239.36173328476232,106.3829925710055,19.946811107063468,13.297874071375688
i,1,9,1,0.9999999999999988,8.999999999999993,0.8806986104691376,0.5672375702173748,220.17465261728438,141.8093925543437,220.17465261728464,15.756599172704869
i,9,8,2,8.999999999999993,7.99999999999999,0.9573498152519178,0.4261066761804925,239.33745381297945,106.52666904512313,26.593050423664405,13.315833630640407
i,5,5,3,5,5,0.9574438985477808,0.4255492672040097,239.3609746369452,106.38731680100243,47.87219492738904,21.277463360200485
i,3,3,4,3,3,0.9574168589529908,0.42551911562900085,239.3542147382477,106.37977890725021,79.78473824608257,35.45992630241674
i,1,5,5,0.9999999999999997,5,0.957453155186434,0.42553546363056066,239.36328879660851,106.38386590764017,239.3632887966086,21.276773181528036
i,10,10,6,9.999999999999993,9.999999999999993,0.9574523355725016,0.42553437295635416,239.3630838931254,106.38359323908854,23.936308389312558,10.638359323908862
i,8,1,7,7.9999999999999964,0.9999999999999996,0.9574485301022206,0.42553267976241216,239.36213252555515,106.38316994060304,29.92026656569441,106.38316994060308
i,1,0,8,1,0,1.0000014667667252,0,250.0003666916813,0,250.0003666916813,NA
i,6,4,9,5.999999999999999,3.999999999999995,0.9574466613890481,0.4255318495062558,239.36166534726203,106.38296237656394,39.893610891210344,26.595740594141017
i,9,3,10,9.00000000000001,3.0000000000000058,0.9574469027197269,0.425531956764323,239.3617256799317,106.38298919108074,26.59574729777016,35.46099639702685
j,3,13,1,2.999999999999997,12.999999999999986,0.9254222993534398,0.5084702439904147,231.35557483835996,127.11756099760369,77.11852494612006,9.778273922892602
j,6,6,2,5.999999999999998,5.999999999999998,0.9573208461580152,0.42628228830137815,239.33021153950378,106.57057207534454,39.888368589917306,17.76176201255743
j,5,12,3,4.9999999999999964,11.999999999999984,0.9574423708002353,0.42555859938105983,239.36059270005882,106.38964984526496,47.8721185400118,8.86580415377209
j,9,5,4,9.000000000000004,4.999999999999999,0.9574294294255337,0.4255243066062377,239.3573573563834,106.38107665155943,26.595261928487034,21.27621533031189
j,2,9,5,1.999999999999995,8.999999999999986,0.9574994803563267,0.42555535478568846,239.37487008908167,106.38883869642211,119.68743504454115,11.820982077380254
j,9,1,6,8.999999999999986,0.9999999999999974,0.9574519376354023,0.4255341930334502,239.36298440885056,106.38354825836255,26.595887156538993,106.38354825836282
j,9,4,7,8.999999999999986,3.9999999999999916,0.9574368511375371,0.425527489394461,239.35921278438425,106.38187234861525,26.595468087153847,26.59546808715387
j,0,6,8,0,5.999999999999996,0,0.9999945465603737,0,249.99863664009342,NA,41.6664394400156
j,6,3,9,5.999999999999992,2.999999999999996,0.9574476691483087,0.4255322973992486,239.36191728707718,106.38307434981215,39.893652881179584,35.461024783270766
j,7,5,10,6.999999999999992,4.999999999999992,0.9574466382779019,0.4255318392346232,239.36165956947548,106.3829598086558,34.194522795639394,21.276591961731192
i,4,7,1,3.999999999999998,6.999999999999994,0.9357426304100168,0.4823822780081093,233.9356576025042,120.59556950202732,58.483914400626084,17.227938500289632
i,1,2,2,0.9999999999999986,1.9999999999999971,0.9570819884231148,0.42768590451910565,239.2704971057787,106.92147612977641,239.27049710577904,53.46073806488828
i,8,8,3,7.999999999999994,7.999999999999994,0.9574443626977973,0.42554643306465206,239.36109067444931,106.38660826616301,29.92013633430619,13.298326033270387
i,2,4,4,1.9999999999999991,3.9999999999999982,0.957446678810274,0.42553282901141054,239.3616697025685,106.38320725285263,119.6808348512843,26.595801813213168
i,2,3,5,1.9999999999999973,2.9999999999999982,0.9574693606171764,0.4255423288644129,239.36734015429408,106.38558221610323,119.6836700771472,35.4618607387011
i,3,6,6,2.9999999999999996,5.999999999999999,0.957445238338812,0.42553121823891327,239.361309584703,106.38280455972831,79.78710319490101,17.730467426621388
i,10,12,7,10,12.000000000000005,0.9574481160113674,0.4255324960340441,239.36202900284184,106.38312400851102,23.936202900284183,8.865260334042581
i,8,4,8,7.99999999999998,3.99999999999999,0.9574437885248295,0.42553057267771693,239.36094713120738,106.38264316942923,29.920118391401,26.595660792357375
