focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
i,3,2,0,0,1,0.9571125,165
i,3,2,0,0,1,0.9571125,159
i,3,2,0,0,1,0.9571125,149
i,3,2,0,0,1,0.9571125,139
i,3,2,0,0,1,0.9571125,158
i,3,2,0,0,1,0.9571125,156
i,3,2,0,0,1,0.9571125,153
i,3,2,0,0,1,0.9571125,134
i,3,2,0,0,1,0.9571125,164
i,3,2,0,0,1,0.9571125,164
i,1,0,0,0,1,0.9566139,488
i,1,0,0,0,1,0.9566139,495
i,1,0,0,0,1,0.9566139,487
i,1,0,0,0,1,0.9566139,478
i,1,0,0,0,1,0.9566139,482
i,1,0,0,0,1,0.9566139,468
i,1,0,0,0,1,0.9566139,514
i,1,0,0,0,1,0.9566139,483
i,1,0,0,0,1,0.9566139,498
i,1,0,0,0,1,0.9566139,473
i,1,4,0,0,1,0.8812101,460
i,1,4,0,0,1,0.8812101,454
i,1,4,0,0,1,0.8812101,436
i,1,4,0,0,1,0.8812101,435
i,1,4,0,0,1,0.8812101,430
i,1,4,0,0,1,0.8812101,469
i,1,4,0,0,1,0.8812101,450
i,1,4,0,0,1,0.8812101,449
i,1,4,0,0,1,0.8812101,456
i,1,4,0,0,1,0.8812101,438
i,3,1,0,0,1,0.9705917,163
i,3,1,0,0,1,0.9705917,151
i,3,1,0,0,1,0.9705917,138
i,3,1,0,0,1,0.9705917,161
i,3,1,0,0,1,0.9705917,176
i,3,1,0,0,1,0.9705917,130
i,3,1,0,0,1,0.9705917,181
i,3,1,0,0,1,0.9705917,151
i,3,1,0,0,1,0.9705917,169
i,3,1,0,0,1,0.9705917,182
i,5,1,0,0,1,0.9788923,101
i,5,1,0,0,1,0.9788923,98
i,5,1,0,0,1,0.9788923,91
i,5,1,0,0,1,0.9788923,97
i,5,1,0,0,1,0.9788923,94
i,5,1,0,0,1,0.9788923,94
i,5,1,0,0,1,0.9788923,104
i,5,1,0,0,1,0.9788923,95
i,5,1,0,0,1,0.9788923,102
i,5,1,0,0,1,0.9788923,111
j,1,3,0,0,1,0.12483167,13
j,1,3,0,0,1,0.12483167,10
j,1,3,0,0,1,0.12483167,11
j,1,3,0,0,1,0.12483167,15
j,1,3,0,0,1,0.12483167,5
j,1,3,0,0,1,0.12483167,15
j,1,3,0,0,1,0.12483167,9
j,1,3,0,0,1,0.12483167,7
j,1,3,0,0,1,0.12483167,13
j,1,3,0,0,1,0.12483167,9
j,4,2,0,0,1,0.0566145,11
j,4,2,0,0,1,0.0566145,2
j,4,2,0,0,1,0.0566145,10
j,4,2,0,0,1,0.0566145,5
j,4,2,0,0,1,0.0566145,7
j,4,2,0,0,1,0.0566145,2
j,4,2,0,0,1,0.0566145,5
j,4,2,0,0,1,0.0566145,5
j,4,2,0,0,1,0.0566145,6
j,4,2,0,0,1,0.0566145,11
j,4,2,0,0,1,0.0566145,9
j,4,2,0,0,1,0.0566145,12
j,4,2,0,0,1,0.0566145,8
j,4,2,0,0,1,0.0566145,9
j,4,2,0,0,1,0.0566145,4
j,4,2,0,0,1,0.0566145,4
j,4,2,0,0,1,0.0566145,6
j,4,2,0,0,1,0.0566145,7
j,4,2,0,0,1,0.0566145,8
j,4,2,0,0,1,0.0566145,6
j,3,1,0,0,1,0.03248715,3
j,3,1,0,0,1,0.03248715,4
j,3,1,0,0,1,0.03248715,7
j,3,1,0,0,1,0.03248715,9
j,3,1,0,0,1,0.03248715,9
j,3,1,0,0,1,0.03248715,7
j,3,1,0,0,1,0.03248715,7
j,3,1,0,0,1,0.03248715,10
j,3,1,0,0,1,0.03248715,12
j,3,1,0,0,1,0.03248715,7
j,2,1,0,0,1,0.0371541,9
j,2,1,0,0,1,0.0371541,13
j,2,1,0,0,1,0.0371541,9
j,2,1,0,0,1,0.0371541,16
j,2,1,0,0,1,0.0371541,7
j,2,1,0,0,1,0.0371541,7
j,2,1,0,0,1,0.0371541,16
j,2,1,0,0,1,0.0371541,11
j,2,1,0,0,1,0.0371541,15
j,2,1,0,0,1,0.0371541,12
i,5,2,0,0,1,0.967534,111
i,5,2,0,0,1,0.967534,101
i,5,2,0,0,1,0.967534,93
i,5,2,0,0,1,0.967534,78
i,5,2,0,0,1,0.967534,92
i,5,2,0,0,1,0.967534,114
i,5,2,0,0,1,0.967534,97
i,5,2,0,0,1,0.967534,97
i,5,2,0,0,1,0.967534,86
i,5,2,0,0,1,0.967534,86
i,5,6,0,0,1,0.9285375,105
i,5,6,0,0,1,0.9285375,88
i,5,6,0,0,1,0.9285375,104
i,5,6,0,0,1,0.9285375,99
i,5,6,0,0,1,0.9285375,73
i,5,6,0,0,1,0.9285375,90
i,5,6,0,0,1,0.9285375,83
i,5,6,0,0,1,0.9285375,96
i,5,6,0,0,1,0.9285375,101
i,5,6,0,0,1,0.9285375,106
i,3,4,0,0,1,0.9328622,155
i,3,4,0,0,1,0.9328622,182
i,3,4,0,0,1,0.9328622,155
i,3,4,0,0,1,0.9328622,142
i,3,4,0,0,1,0.9328622,154
i,3,4,0,0,1,0.9328622,154
i,3,4,0,0,1,0.9328622,139
i,3,4,0,0,1,0.9328622,137
i,3,4,0,0,1,0.9328622,177
i,3,4,0,0,1,0.9328622,153
i,1,5,0,0,1,0.8659625,443
i,1,5,0,0,1,0.8659625,399
i,1,5,0,0,1,0.8659625,411
i,1,5,0,0,1,0.8659625,435
i,1,5,0,0,1,0.8659625,445
i,1,5,0,0,1,0.8659625,389
i,1,5,0,0,1,0.8659625,435
i,1,5,0,0,1,0.8659625,426
i,1,5,0,0,1,0.8659625,383
i,1,5,0,0,1,0.8659625,447
i,4,2,0,0,1,0.9634395,122
i,4,2,0,0,1,0.9634395,125
i,4,2,0,0,1,0.9634395,137
i,4,2,0,0,1,0.9634395,115
i,4,2,0,0,1,0.9634395,125
i,4,2,0,0,1,0.9634395,122
i,4,2,0,0,1,0.9634395,136
i,4,2,0,0,1,0.9634395,108
i,4,2,0,0,1,0.9634395,117
i,4,2,0,0,1,0.9634395,130
j,1,4,0,0,1,0.15811653,13
j,1,4,0,0,1,0.15811653,17
j,1,4,0,0,1,0.15811653,7
j,1,4,0,0,1,0.15811653,8
j,1,4,0,0,1,0.15811653,10
j,1,4,0,0,1,0.15811653,8
j,1,4,0,0,1,0.15811653,11
j,1,4,0,0,1,0.15811653,18
j,1,4,0,0,1,0.15811653,17
j,1,4,0,0,1,0.15811653,6
j,1,1,0,0,1,0.0465495,9
j,1,1,0,0,1,0.0465495,12
j,1,1,0,0,1,0.0465495,16
j,1,1,0,0,1,0.0465495,9
j,1,1,0,0,1,0.0465495,23
j,1,1,0,0,1,0.0465495,18
j,1,1,0,0,1,0.0465495,7
j,1,1,0,0,1,0.0465495,9
j,1,1,0,0,1,0.0465495,11
j,1,1,0,0,1,0.0465495,4
j,0,1,0,0,1,0.12934034,29
j,0,1,0,0,1,0.12934034,35
j,0,1,0,0,1,0.12934034,25
j,0,1,0,0,1,0.12934034,32
j,0,1,0,0,1,0.12934034,38
j,0,1,0,0,1,0.12934034,40
j,0,1,0,0,1,0.12934034,36
j,0,1,0,0,1,0.12934034,29
j,0,1,0,0,1,0.12934034,28
j,0,1,0,0,1,0.12934034,35
j,2,3,0,0,1,0.10123331,4
j,2,3,0,0,1,0.10123331,13
j,2,3,0,0,1,0.10123331,6
j,2,3,0,0,1,0.10123331,9
j,2,3,0,0,1,0.10123331,10
j,2,3,0,0,1,0.10123331,5
j,2,3,0,0,1,0.10123331,6
j,2,3,0,0,1,0.10123331,10
j,2,3,0,0,1,0.10123331,10
j,2,3,0,0,1,0.10123331,4
j,1,3,0,0,1,0.12483167,9
j,1,3,0,0,1,0.12483167,8
j,1,3,0,0,1,0.12483167,11
j,1,3,0,0,1,0.12483167,10
j,1,3,0,0,1,0.12483167,12
j,1,3,0,0,1,0.12483167,11
j,1,3,0,0,1,0.12483167,15
j,1,3,0,0,1,0.12483167,12
j,1,3,0,0,1,0.12483167,10
j,1,3,0,0,1,0.12483167,8
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,0,3,0,0,1,0,NA
i,1,3,0,0,1,0.897685,439
i,1,3,0,0,1,0.897685,466
i,1,3,0,0,1,0.897685,454
i,1,3,0,0,1,0.897685,440
i,1,3,0,0,1,0.897685,441
i,1,3,0,0,1,0.897685,447
i,1,3,0,0,1,0.897685,443
i,1,3,0,0,1,0.897685,425
i,1,3,0,0,1,0.897685,469
i,1,3,0,0,1,0.897685,477
i,5,9,0,0,1,0.9044887,78
i,5,9,0,0,1,0.9044887,88
i,5,9,0,0,1,0.9044887,92
i,5,9,0,0,1,0.9044887,84
i,5,9,0,0,1,0.9044887,94
i,5,9,0,0,1,0.9044887,91
i,5,9,0,0,1,0.9044887,85
i,5,9,0,0,1,0.9044887,96
i,5,9,0,0,1,0.9044887,101
i,5,9,0,0,1,0.9044887,86
i,1,2,0,0,1,0.9155777,462
i,1,2,0,0,1,0.9155777,409
i,1,2,0,0,1,0.9155777,452
i,1,2,0,0,1,0.9155777,477
i,1,2,0,0,1,0.9155777,475
i,1,2,0,0,1,0.9155777,453
i,1,2,0,0,1,0.9155777,492
i,1,2,0,0,1,0.9155777,441
i,1,2,0,0,1,0.9155777,440
i,1,2,0,0,1,0.9155777,421
i,2,1,0,0,1,0.9610574,236
i,2,1,0,0,1,0.9610574,236
i,2,1,0,0,1,0.9610574,236
i,2,1,0,0,1,0.9610574,263
i,2,1,0,0,1,0.9610574,228
i,2,1,0,0,1,0.9610574,256
i,2,1,0,0,1,0.9610574,255
i,2,1,0,0,1,0.9610574,237
i,2,1,0,0,1,0.9610574,261
